[Result Details]
Result Name,[170.10] Vehicle, 2019 Michigan Endurance
Date Created,10/23/2023 3:07:19 PM
Track,2019 Michigan Endurance
Track Configuration,Closed Circuit
Vehicle,Vehicle

[KPI Values]
Lap time [s],170.096818218285,
Percent in Corners [%],68.2563922919927,
Percent Accelerating [%],53.8049664638349,
Percent Braking [%],40.7518876870883,
Percent Coasting [%],0.142107753759831,
Percent 100% Throttle [%],23.0769678336421,
Percent TCS Enabled [%],89.9959669675056,
Lowest Speed [km/h],14.4954123027607,
Highest Speed [km/h],76.6045952651335,
Average Speed [km/h],51.9166952360512,
Energy Spent [kJ],1574.48051908304,
Fuel Consumption [kg],∞,
Gear Shifts [-],0,
Maximum Lateral Acceleration [m/s^2],11.9857893814831,
Maximum Longitudinal Acceleration [m/s^2],5.47650078125375,
Maximum Longitudinal Deceleration [m/s^2],-13.0419743780682,
Time in Sector 1 [s],170.096818218285,
Maximum Speed in Sector 1 [km/h],76.6045952651335,
Minimum Speed in Sector 1 [km/h],14.4954123027607,
Percent in Gear 1 [%],100,

[Vehicle Parameters]
Mass Longitudinal Friction [kg],0,
Vehicle Mass [kg],284,
Drag Coefficient [-],0.65,
Downforce Coefficient [-],0.25,
Aero Efficiency [-],0.384615384615385,
Frontal Area [m^2],1,
Drivetrain Efficiency [%],90,
Tire Rolling Radius [m],0.2032,
Air Density [kg/m^3],1.162,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,
Rev Limit [rpm],4000,
Longitudinal Friction [-],1.2,
Lateral Friction [-],1.2,
Final Drive Ratio [-],4,
Fuel Energy Density [J/kg],0,
Engine Thermal Efficiency [%],0,
Tire Rolling Drag [-],0.04,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Load Sensitivity Lateral Friction [-],0,
Load Sensitivity Longitudinal Friction [-],0,
Torque Data [N.m],0,
RPM Data [rpm],0,

[Vehicle KPIs]
Deceleration Time For Speed [27.778 km/h] [s],0,
Deceleration Distance For Speed [27.778 km/h] [m],0,
Top Speed [km/h],76.6045952651335,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
68.5619244652482,0.0100098433696576,0.213,11.1104339214851,1.38623184055696,1,4,3580.04238403458,165,92.6847934257091,52.6838055475666,170.999221106658,0,8.77674920024619,0,59.963,1,76.6045952651335,1.2,1.2,0,0,0,0.216604826075406,-0.000391222951941695,0,2838.72380554757,
68.6173973871618,0.0211938934963232,0.426,6.05870948631759,1.37777860448373,1,4,3582.93896859177,167.085305157041,84.0702264955514,52.769092153801,137.199639599883,78.3201724571194,95.8286327543148,0,59.963,1,76.6045952651335,1.2,1.2,0.206568554409039,2.05594028377034,19.2504111318089,0.433281736797427,-0.0090994971165954,0,2838.8090921538,
68.7901149235123,0.0323689020101767,0.639,6.08924874967912,4.2932489376836,1,4,3591.95762005792,167.04021189971,84.2590943804821,53.0350777083606,137.891202041737,50.3395633941524,95.8064749894319,0,59.963,1,76.6045952651335,1.2,1.2,0.413168338912256,2.74496813254251,6.45680291917444,0.649955821083831,-0.0170253304823605,0,2839.07507770836,
68.961965924695,0.0435158524238023,0.852,6.11971099281645,4.28246178964423,1,4,3600.93102436026,166.995344878199,84.4469013395646,53.3003924455922,138.58102035854,50.4059494914762,95.7843640256269,0,59.963,1,76.6045952651335,1.2,1.2,0.619799372516842,2.98010204972837,2.20895987820405,0.866624252535882,-0.0241687383641544,0,2839.34039244559,
69.1329556347611,0.0546350249954968,1.065,6.15009599901144,4.2716435399103,1,4,3609.85945532314,166.950702723384,84.6336548091341,53.565034477962,139.269089642701,50.4727969480231,95.7623001050967,0,59.963,1,76.6045952651335,1.2,1.2,0.826461673838671,3.06391393240464,0.789335696823234,1.08328420482861,-0.0305297462866175,0,2839.60503447796,
69.3030892228304,0.065726696007671,1.278,6.18040355316282,4.26079442559918,1,4,3618.74318285831,166.906284085708,84.8193621214702,53.8290019320184,139.955405023248,50.5401033501186,95.7402834685781,0,59.963,1,76.6045952651335,1.2,1.2,1.03315526110605,3.09726122019413,0.314841632733989,1.29993285174768,-0.03610838998378,0,2839.86900193202,
69.4723717846791,0.0767911378471178,1.491,6.21063344179101,4.24991468428357,1,4,3627.58247304777,166.862087634761,85.0040305069448,54.0922929484341,140.639961665929,50.607866280149,95.718314355345,0,59.963,1,76.6045952651335,1.2,1.2,1.23988015214939,3.11376319798388,0.15618348383122,1.51656736722628,-0.0409047153985956,0,2840.13229294843,
69.6408083442869,0.0878286190832069,1.704,6.24078545304287,4.23900455399042,1,4,3636.3775882246,166.818112058877,85.1876670961128,54.3549056820476,141.322754773324,50.6760833164704,95.6963930032064,0,59.963,1,76.6045952651335,1.2,1.2,1.44663636440847,3.12462643036875,0.103066543065215,1.73318492538201,-0.0449187786823421,0,2840.39490568205,
